strain	generic
Seq14_L1A	1
Seq3_L1A	1
Seq4_L1A	1
Seq7_L1A	1
Seq8_L1A	1
Seq94_L1B	1
Seq99_L1B	1
Seq66_L1B	1
Seq87_L1B	1
Seq52_L1B	1
Seq82_L1B	1
Seq55_L1B	1
Seq59_L1B	1
Seq100_L1B	1
Seq60_L1B	1
Seq62_L1B	1
Seq74_L1B	1
Seq56_L1B	1
Seq57_L1B	1
Seq69_L1B	1
Seq67_L1B	1
Seq63_L1B	1
Seq65_L1B	1
Seq78_L1B	1
Seq80_L1B	1
Seq92_L1B	1
Seq359_L1G	1
Seq366_L1G	1
Seq384_L1G	1
Seq361_L1G	1
Seq372_L1G	1
Seq360_L1G	1
Seq358_L1G	1
Seq382_L1G	1
Seq363_L1G	1
Seq392_L1G	1
Seq394_L1G	1
Seq349_L1G	1
Seq348_L1G	1
Seq346_L1G	1
Seq350_L1G	1
Seq379_L1G	1
Seq386_L1G	1
Seq347_L1G	1
Seq355_L1G	1
Seq367_L1G	1
Seq387_L1G	1
Seq385_L1G	1
Seq277_L1E	1
Seq294_L1E	1
Seq278_L1E	1
Seq279_L1E	1
Seq266_L1E	1
Seq280_L1E	1
Seq251_L1E	1
Seq271_L1E	1
Seq288_L1E	1
Seq246_L1E	1
Seq250_L1E	1
Seq247_L1E	1
Seq261_L1E	1
Seq248_L1E	1
Seq269_L1E	1
Seq258_L1E	1
Seq257_L1E	1
Seq268_L1E	1
Seq289_L1E	1
Seq259_L1E	1
Seq265_L1E	1
Seq282_L1E	1
Seq283_L1E	1
Seq286_L1E	1
Seq275_L1E	1
Seq276_L1E	1
Seq270_L1E	1
Seq254_L1E	1
Seq256_L1E	1
Seq162_L1Dalpha	1
Seq179_L1Dalpha	1
Seq187_L1Dalpha	1
Seq180_L1Dalpha	1
Seq195_L1Dalpha	1
Seq196_L1Dalpha	1
Seq152_L1Dalpha	1
Seq166_L1Dalpha	1
Seq165_L1Dalpha	1
Seq167_L1Dalpha	1
Seq198_L1Dalpha	1
Seq200_L1Dalpha	1
Seq177_L1Dalpha	1
Seq183_L1Dalpha	1
Seq190_L1Dalpha	1
Seq191_L1Dalpha	1
